full_name,birth_year,primary_position,dominant_foot,sweden_primary_shirt_number,sweden_all_shirt_numbers,clubs_clue_list,national_team_caps,national_team_goals,nt_start_year,nt_end_year
Robin Olsen,1990,Målvakt,Höger,1,,Malmö FF|FC Copenhagen|PAOK|AS Roma|Cagliari|Everton|Aston Villa,79,0,2015,2025
Kristoffer Nordfeldt,1989,Målvakt,Höger,23,,Brommapojkarna|SC Heerenveen|Swansea City|Gençlerbirliği|AIK,19,0,2011,2023
Victor Lindelöf,1994,Mittback,Höger,3,,Västerås SK|Manchester United|Aston Villa,74,3,2016,2025
Carl Starfelt,1995,Mittback,Höger,6,,Brommapojkarna|Degerfors IF|IFK Göteborg|Celtic|Celta de Vigo,16,0,2020,2025
Gabriel Gudmundsson,1999,Vänsterback,Vänster,5,,Halmstads BK|Groningen|Leeds United,22,0,2022,2025
Emil Krafth,1994,Högerback,Höger,2,,Helsingborgs IF|Bologna|Newcastle United,52,0,2014,2025
Jesper Karlström,1995,Mittfältare,Höger,16,,Brommapojkarna|Djurgårdens IF|Lech Poznań|Udinese,22,0,2018,2025
Mattias Svanberg,1999,Mittfältare,Höger,15,,Malmö FF|Bologna,36,2,2019,2025
Dejan Kulusevski,2000,Mittfältare,Vänster,21,,Atalanta|Parma|Juventus|Tottenham Hotspur,45,5,2019,2024
Emil Forsberg,1991,Mittfältare,Höger,10,,GIF Sundsvall|Malmö FF,92,21,2014,2025
Anthony Elanga,2002,Högerytter,Höger,11,,Manchester United|Nottingham Forest|Newcastle United,27,5,2022,2025
Alexander Isak,1999,Anfallare,Höger,9,,AIK|Borussia Dortmund|Newcastle United,56,16,2017,2025
Viktor Gyökeres,1998,Anfallare,Höger,17,,Brommapojkarna|Brighton & Hove Albion|Swansea City|Coventry City|Arsenal,31,18,2019,2025
Isak Hien,1999,Mittback,Höger,4,,Vasalunds IF|Djurgårdens IF|Hellas Verona|Atalanta,27,0,2022,2026
Daniel Svensson,2002,Vänsterback,Vänster,8,,Brommapojkarna|Borussia Dortmund,11,0,2024,2026
Yasin Ayari,2003,Mittfältare,Höger,18,,AIK|Brighton & Hove Albion|Coventry City|Blackburn Rovers,19,3,2023,2026
Hugo Larsson,2004,Mittfältare,Höger,20,,Malmö FF,12,0,2023,2026
Lucas Bergvall,2006,Mittfältare,Höger,7,,Djurgårdens IF|Tottenham Hotspur,8,0,2024,2026
Viktor Claesson,1992,Mittfältare,Höger,7,,IFK Värnamo|IF Elfsborg|Krasnodar|FC Copenhagen,74,15,2012,2023
Zlatan Ibrahimović,1981,Anfallare,Höger,11,,Malmö FF|Ajax|Juventus|Barcelona|Manchester United|LA Galaxy,122,62,2001,2023
Andreas Isaksson,1981,Målvakt,Höger,1,,Juventus|Djurgårdens IF|Rennes|Manchester City|PSV|Kasımpaşa,133,0,2002,2016
Olof Mellberg,1977,Mittback,Höger,4,,Degerfors IF|AIK|Racing Santander|Aston Villa|Juventus|Olympiacos|FC Copenhagen,117,8,2000,2012
Andreas Granqvist,1985,Mittback,Höger,4,,Helsingborgs IF|Wigan Athletic|Groningen|Genoa|Krasnodar,88,9,2006,2019
Sebastian Larsson,1985,Mittfältare,Höger,7,,IFK Eskilstuna|Arsenal|Birmingham City|Sunderland|AIK,133,10,2008,2021
Kim Källström,1982,Mittfältare,Vänster,9,,BK Häcken|Djurgårdens IF|Rennes|Spartak Moscow|Arsenal,131,16,2001,2016
